timestamp,rsd_wd,rsd_ws,rsd_ti,z28_n,z28_wd,z28_ws,z28_ti,z29_n,z29_wd,z29_ws,z29_ti
12/24/16 07:50,264.285,8.616,5.902971216,10800.0,271.2275338,9.065351951,4.495636268,10800.0,271.261176,8.758692692999999,4.783456112
12/24/16 08:00,260.9197,8.8382,5.661786337000001,10800.0,268.979762,9.251588607,5.371876519,10801.0,268.6882237,8.992558169,5.499326259
12/24/16 08:10,260.9935,9.6519,9.587749562,10800.0,268.8081088,10.21600506,7.978584004,10800.0,268.4706598,9.926674987,7.849873927000001
12/24/16 08:20,260.9583,11.3545,5.768637985,10800.0,268.6454293,11.94028164,3.584551931,10800.0,268.2169399,11.655105,3.859340097
12/24/16 08:30,259.362,11.2135,4.2020778530000005,10800.0,266.5448942,11.67112849,4.083508903999999,10801.0,265.9170509,11.41146794,4.082801429
12/24/16 08:40,254.9686,10.8763,2.584518632,10801.0,260.9717182,11.28121367,2.561934564,10800.0,260.3957825,11.05619368,2.603258145
12/24/16 08:50,258.9859,11.7254,3.664693742,10800.0,266.7342663,12.36381935,4.080318278,10800.0,266.210696,12.110843899999999,4.077031648
12/24/16 09:00,260.5082,12.9682,4.641353465,10800.0,268.3407267,13.54142445,4.840294315,10801.0,267.7926516,13.24564736,4.922504149
12/24/16 09:10,260.7132,13.212,2.820163488,10800.0,267.6560875,13.68882548,2.463974704,10800.0,266.9281828,13.37244986,2.598551004
12/24/16 09:20,258.8229,13.0366,1.602411672,10800.0,266.046157,13.57031261,1.6651964730000002,10801.0,265.13191639999997,13.27251266,1.759247156
12/24/16 09:30,258.2937,12.6979,2.607517779,10801.0,265.79036659999997,13.27834477,2.153037325,10800.0,264.9018828,12.98596336,2.243573173
12/24/16 09:40,259.418,12.8728,3.1220868810000004,10800.0,266.5970823,13.44274822,2.48068397,10801.0,265.7915711,13.13229504,2.558496019
12/24/16 09:50,257.5086,12.514000000000001,3.44733898,10800.0,264.8468233,13.14293729,3.041565602,10800.0,263.9346754,12.88552793,2.9013487239999995
12/24/16 10:00,261.0888,12.7896,3.333958842,10801.0,268.4132858,13.38392232,2.692083785,10801.0,267.8117445,13.04416162,3.021448875
12/24/16 10:10,260.6027,13.0715,2.562827526,10800.0,269.1473889,13.65653766,2.481642031,10800.0,268.63399350000003,13.29789329,2.958888291
12/24/16 10:20,259.5639,13.0312,2.9076370560000004,10800.0,266.9922233,13.53850957,2.994916852,10800.0,266.1751771,13.263485500000002,3.1330757719999998
12/24/16 10:30,259.9428,13.477,1.8357201159999998,10801.0,267.6082334,13.9734785,2.149958649,10801.0,266.8748808,13.662156099999999,2.325435925
12/24/16 10:40,259.8257,13.2208,3.6677054339999997,10800.0,267.2720345,13.75268216,3.2927819830000002,10800.0,266.522411,13.46845424,3.4065911630000003
12/24/16 10:50,261.3576,12.7122,3.7971397560000004,10800.0,269.2755664,13.29776922,3.088139501,10800.0,268.8248577,12.94566128,3.374408227
12/24/16 11:00,259.81,12.8253,2.8467170360000003,10801.0,267.5310554,13.47103813,3.126719905,10800.0,266.8848497,13.222381,3.112018395
12/24/16 11:10,260.9712,13.1786,3.4897485319999997,10800.0,268.9905185,13.70621571,2.9822735189999996,10801.0,268.5053752,13.40641585,3.3802530639999997
12/24/16 11:20,264.3434,12.3457,3.728423662,10801.0,271.70156910000003,12.76051079,3.396802024,10801.0,271.7129411,12.40139479,3.835169061
12/24/16 11:30,270.0366,12.9492,1.790071974,10800.0,276.7182735,13.54508978,2.040494858,10800.0,277.7087457,12.93456251,3.015108979
